order_id,product_id,quantity,price,total_price
1,63019af0cfbe57f02aa468fd,2,1583,3166
1,62dbf9762dd27153fa1165c3,2,1306,2612
1,62dbf9762dd27153fa11654d,3,1009,3027
1,63019af0cfbe57f02aa468ff,3,1054,3162
1,63019af0cfbe57f02aa468f5,4,698,2792
2,62fe9e991045919477a1bcca,3,911,2733
2,62dbf9762dd27153fa11659b,1,989,989
2,62dbf9762dd27153fa11657d,3,707,2121
3,63019af0cfbe57f02aa468f0,4,1148,4592
3,62dbf9762dd27153fa1165af,1,1038,1038
3,62fe9e991045919477a1bcc2,2,1560,3120
4,62dbf9762dd27153fa1165c0,4,798,3192
4,62dbf9762dd27153fa116548,5,524,2620
5,62dbf9762dd27153fa116566,2,451,902
5,62dbf9762dd27153fa11653f,5,614,3070
5,62dbf9762dd27153fa116588,3,945,2835
5,62dbf9762dd27153fa1165c6,5,419,2095
5,62dbf9762dd27153fa116562,3,1689,5067
6,63019af0cfbe57f02aa468fb,2,275,550
7,62dbf9762dd27153fa11656a,5,505,2525
7,62dbf9762dd27153fa1165d6,3,1145,3435
7,62dbf9762dd27153fa116590,4,1984,7936
7,62dbf9762dd27153fa11659b,1,989,989
8,62dbf9762dd27153fa116597,5,823,4115
8,62dbf9762dd27153fa11659f,2,448,896
8,62dbf9762dd27153fa1165db,1,661,661
8,62dbf9762dd27153fa116583,3,176,528
9,62dbf9762dd27153fa116580,2,1927,3854
9,63019af0cfbe57f02aa468fb,5,275,1375
9,62dbf9762dd27153fa1165b9,1,525,525
10,62dbf9762dd27153fa11658f,1,1169,1169
11,62dbf9762dd27153fa116558,5,606,3030
12,62dbf9762dd27153fa116538,1,1185,1185
13,63019af0cfbe57f02aa468fa,3,381,1143
13,62dbf9762dd27153fa11655b,4,925,3700
13,62dbf9762dd27153fa11655a,4,912,3648
14,62dbf9762dd27153fa116562,5,1689,8445
14,62fe9e991045919477a1bccd,4,897,3588
15,62dbf9762dd27153fa1165bd,5,575,2875
15,62dbf9762dd27153fa116562,1,1689,1689
15,62dbf9762dd27153fa11658c,4,371,1484
15,62dbf9762dd27153fa1165e1,3,345,1035
15,62dbf9762dd27153fa116563,3,925,2775
16,63019af0cfbe57f02aa468f2,3,610,1830
17,62dbf9762dd27153fa1165b3,1,1432,1432
17,62dbf9762dd27153fa1165a6,2,784,1568
17,62dbf9762dd27153fa116548,1,524,524
18,63019af0cfbe57f02aa468f9,1,1508,1508
19,62dbf9762dd27153fa11654d,4,1009,4036
19,62fe9e991045919477a1bcca,5,911,4555
20,62dbf9762dd27153fa116593,4,593,2372
20,62dbf9762dd27153fa116537,2,578,1156
20,62dbf9762dd27153fa116596,4,577,2308
21,62dbf9762dd27153fa11653d,3,490,1470
21,62dbf9762dd27153fa11653b,5,1092,5460
21,62fe9e991045919477a1bcc9,2,1311,2622
